worker 1/7: k=1/311738 (0.0% of work, 0s)
worker 1/7: k=351/311738 (0.0% of work, 0s)
worker 1/7: k=701/311738 (0.0% of work, 0s)
worker 1/7: k=1051/311738 (0.0% of work, 0s)
worker 1/7: k=1401/311738 (0.0% of work, 0s)
worker 1/7: k=1751/311738 (0.0% of work, 0s)
worker 4/7: k=4/311738 (0.0% of work, 0s)
worker 1/7: k=2101/311738 (0.0% of work, 0s)
worker 6/7: k=6/311738 (0.0% of work, 0s)
worker 4/7: k=354/311738 (0.0% of work, 0s)
worker 6/7: k=356/311738 (0.0% of work, 0s)
worker 4/7: k=704/311738 (0.0% of work, 0s)
worker 1/7: k=2451/311738 (0.0% of work, 0s)
worker 6/7: k=706/311738 (0.0% of work, 0s)
worker 0/7: k=350/311738 (0.0% of work, 0s)
worker 6/7: k=1056/311738 (0.0% of work, 0s)
worker 4/7: k=1054/311738 (0.0% of work, 0s)
worker 6/7: k=1406/311738 (0.0% of work, 0s)
worker 0/7: k=700/311738 (0.0% of work, 0s)
worker 1/7: k=2801/311738 (0.0% of work, 0s)
worker 4/7: k=1404/311738 (0.0% of work, 0s)
worker 0/7: k=1050/311738 (0.0% of work, 0s)
worker 6/7: k=1756/311738 (0.0% of work, 0s)
worker 4/7: k=1754/311738 (0.0% of work, 0s)
worker 0/7: k=1400/311738 (0.0% of work, 0s)
worker 6/7: k=2106/311738 (0.0% of work, 0s)
worker 1/7: k=3151/311738 (0.0% of work, 0s)
worker 0/7: k=1750/311738 (0.0% of work, 0s)
worker 4/7: k=2104/311738 (0.0% of work, 0s)
worker 2/7: k=2/311738 (0.0% of work, 0s)
worker 6/7: k=2456/311738 (0.0% of work, 0s)
worker 0/7: k=2100/311738 (0.0% of work, 0s)
worker 4/7: k=2454/311738 (0.0% of work, 0s)
worker 2/7: k=352/311738 (0.0% of work, 0s)
worker 1/7: k=3501/311738 (0.0% of work, 0s)
worker 3/7: k=3/311738 (0.0% of work, 0s)
worker 6/7: k=2806/311738 (0.0% of work, 0s)
worker 0/7: k=2450/311738 (0.0% of work, 0s)
worker 2/7: k=702/311738 (0.0% of work, 0s)
worker 4/7: k=2804/311738 (0.0% of work, 0s)
worker 3/7: k=353/311738 (0.0% of work, 0s)
worker 2/7: k=1052/311738 (0.0% of work, 0s)
worker 3/7: k=703/311738 (0.0% of work, 0s)
worker 1/7: k=3851/311738 (0.0% of work, 0s)worker 4/7: k=3154/311738 (0.0% of work, 0s)

worker 0/7: k=2800/311738 (0.0% of work, 0s)
worker 2/7: k=1402/311738 (0.0% of work, 0s)
worker 5/7: k=5/311738 (0.0% of work, 0s)
worker 6/7: k=3156/311738 (0.0% of work, 0s)
worker 3/7: k=1053/311738 (0.0% of work, 0s)
worker 2/7: k=1752/311738 (0.0% of work, 0s)
worker 5/7: k=355/311738 (0.0% of work, 0s)
worker 3/7: k=1403/311738 (0.0% of work, 0s)
worker 4/7: k=3504/311738 (0.0% of work, 0s)
worker 0/7: k=3150/311738 (0.0% of work, 0s)
worker 5/7: k=705/311738 (0.0% of work, 0s)
worker 2/7: k=2102/311738 (0.0% of work, 0s)
worker 1/7: k=4201/311738 (0.0% of work, 0s)worker 3/7: k=1753/311738 (0.0% of work, 0s)

worker 6/7: k=3506/311738 (0.0% of work, 0s)
worker 5/7: k=1055/311738 (0.0% of work, 0s)
worker 4/7: k=3854/311738 (0.0% of work, 0s)
worker 5/7: k=1405/311738 (0.0% of work, 0s)
worker 3/7: k=2103/311738 (0.0% of work, 0s)
worker 2/7: k=2452/311738 (0.0% of work, 0s)
